"IPAddress","LinkLayerAddress","State","InterfaceAlias"
"2001:4860:482b:7700::","","Stale","Hetzner"
"2001:4860:482a:7700::","","Stale","Hetzner"
"2001:4860:4829:7700::","","Stale","Hetzner"
"2001:4860:4828:7700::","","Stale","Hetzner"
"2001:4860:4827:7700::","","Stale","Hetzner"
"2001:4860:4826:7700::","","Stale","Hetzner"
"2001:4860:4802:38::223","","Stale","Hetzner"
"2001:4860:4802:36::223","","Unreachable","Hetzner"
"2001:4860:4802:34::223","","Unreachable","Hetzner"
"2001:4860:4802:34::9f","","Stale","Hetzner"
"2001:4860:4802:34::9d","","Unreachable","Hetzner"
"2001:4860:4802:32::223","","Stale","Hetzner"
"2001:2030:22::3e73:fd31","","Unreachable","Hetzner"
"2001:2030:22::3e73:fd28","","Unreachable","Hetzner"
"2001:2030:22::210:ab3b","","Unreachable","Hetzner"
"2001:2030:22::210:ab31","","Unreachable","Hetzner"
"2001:2030:21:1b7::21cc","","Stale","Hetzner"
"2001:2030:21:1af::21cc","","Stale","Hetzner"
"2001:2030:21:1a6::21cc","","Stale","Hetzner"
"2001:2030:21:18e::21cc","","Stale","Hetzner"
"2001:2030:21:18d::21cc","","Stale","Hetzner"
"2001:2030:21:18a::21cc","","Stale","Hetzner"
"2001:2030:21:188::21cc","","Stale","Hetzner"
"2001:2030:21::50ef:89ab","","Stale","Hetzner"
"2001:2030:21::50ef:89a9","","Stale","Hetzner"
"2001:2030:21::50ef:89a2","","Stale","Hetzner"
"2001:2030:21::50ef:89a1","","Stale","Hetzner"
"2001:2030:21::50ef:89a0","","Stale","Hetzner"
"2001:2030:21::50ef:899b","","Stale","Hetzner"
"2001:2030:21::50ef:899a","","Stale","Hetzner"
"2001:2030:21::50ef:8998","","Stale","Hetzner"
"2001:2030:21::50ef:898b","","Stale","Hetzner"
"2001:2030:21::50ef:898a","","Stale","Hetzner"
"2001:2030:21::50ef:8989","","Stale","Hetzner"
"2001:2030:21::50ef:8988","","Stale","Hetzner"
"2001:2030:21::3e73:fce8","","Stale","Hetzner"
"2001:2030:21::3e73:fce1","","Stale","Hetzner"
"2001:2030:21::3e73:fcd8","","Stale","Hetzner"
"2001:2030:21::3e73:fcd0","","Stale","Hetzner"
"2001:2030:21::3e73:fcbb","","Stale","Hetzner"
"2001:2030:21::3e73:fca0","","Stale","Hetzner"
"2001:2030:21::3e73:fc89","","Stale","Hetzner"
"2001:2030:21::3e73:fc63","","Unreachable","Hetzner"
"2001:2030:21::3e73:fc4b","","Stale","Hetzner"
"2001:2030:21::3e73:fc4a","","Stale","Hetzner"
"2001:2030:21::3e73:fc49","","Stale","Hetzner"
"2001:2030:21::3e73:fc48","","Stale","Hetzner"
"2001:2030:21::3e73:fc43","","Stale","Hetzner"
"2001:2030:21::3e73:fc42","","Stale","Hetzner"
"2001:2030:21::3e73:fc41","","Stale","Hetzner"
"2001:2030:21::3e73:fc38","","Stale","Hetzner"
"2001:2030:21::3e73:fc33","","Stale","Hetzner"
"2001:2030:21::3e73:fc23","","Stale","Hetzner"
"2001:2030:21::3e73:fc22","","Stale","Hetzner"
"2001:2030:21::3e73:fc21","","Stale","Hetzner"
"2001:2030:21::3e73:fc20","","Stale","Hetzner"
"2001:2030:21::3e73:fc1b","","Stale","Hetzner"
"2001:2030:21::3e73:fc19","","Stale","Hetzner"
"2001:2030:21::3e73:fc18","","Stale","Hetzner"
"2001:2030:21::3e73:fc10","","Stale","Hetzner"
"2001:2030:21::3e73:fc0a","","Stale","Hetzner"
"2001:2030:21::3e73:fc08","","Stale","Hetzner"
"2001:478:65::53","","Stale","Hetzner"
"::","","Permanent","Hetzner"
"ff02::1:2","","Permanent","Loopback Pseudo-Interface 1"
"ff02::16","","Permanent","Loopback Pseudo-Interface 1"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","Ethernet 3"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","Ethernet 3"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Ethernet 3"
"192.168.33.255","FF-FF-FF-FF-FF-FF","Permanent","Ethernet 3"
"224.0.0.252","01-00-5E-00-00-FC","Permanent","Ethernet 2"
"224.0.0.251","01-00-5E-00-00-FB","Permanent","Ethernet 2"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Ethernet 2"
"224.0.0.22","01-00-5E-00-00-16","Permanent","Local Area Connection* 3"
"239.255.255.250","","Permanent","Hetzner"
"224.0.0.252","","Permanent","Hetzner"
"224.0.0.251","","Permanent","Hetzner"
"224.0.0.22","","Permanent","Hetzner"
"216.239.38.223","","Unreachable","Hetzner"
"216.239.36.223","","Unreachable","Hetzner"
"216.239.34.223","","Stale","Hetzner"
"216.239.34.159","","Stale","Hetzner"
"216.239.34.157","","Stale","Hetzner"
"216.239.32.223","","Stale","Hetzner"
"216.239.32.3","","Unreachable","Hetzner"
"216.58.210.182","","Stale","Hetzner"
"216.58.210.174","","Unreachable","Hetzner"
"216.58.210.170","","Unreachable","Hetzner"
"216.58.210.150","","Stale","Hetzner"
"216.58.210.142","","Unreachable","Hetzner"
"216.58.210.138","","Unreachable","Hetzner"
"216.58.210.132","","Unreachable","Hetzner"
"216.58.210.131","","Unreachable","Hetzner"
"216.58.209.214","","Stale","Hetzner"
"216.58.209.206","","Unreachable","Hetzner"
"216.58.209.202","","Unreachable","Hetzner"
"216.58.209.200","","Stale","Hetzner"
"216.58.209.195","","Unreachable","Hetzner"
"216.58.209.182","","Unreachable","Hetzner"
"216.58.209.174","","Unreachable","Hetzner"
"216.58.209.170","","Unreachable","Hetzner"
"216.58.209.164","","Stale","Hetzner"
"216.58.209.161","","Stale","Hetzner"
"212.229.88.53","","Stale","Hetzner"
"212.229.88.52","","Stale","Hetzner"
"212.229.88.51","","Stale","Hetzner"
"212.229.88.50","","Unreachable","Hetzner"
"208.103.161.2","","Unreachable","Hetzner"
"208.103.161.1","","Reachable","Hetzner"
"204.155.159.109","","Stale","Hetzner"
"204.79.197.254","","Stale","Hetzner"
"204.79.197.222","","Stale","Hetzner"
"204.79.197.203","","Unreachable","Hetzner"
"199.232.174.251","","Stale","Hetzner"
"199.232.174.250","","Stale","Hetzner"
"199.232.174.248","","Stale","Hetzner"
"199.232.174.172","","Unreachable","Hetzner"
"199.232.174.132","","Stale","Hetzner"
"199.232.173.140","","Stale","Hetzner"
"199.232.173.91","","Unreachable","Hetzner"
"199.232.172.193","","Stale","Hetzner"
"194.82.47.42","","Stale","Hetzner"
"194.82.46.42","","Stale","Hetzner"
"192.228.79.201","","Stale","Hetzner"
